ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2024-10-10 10:20:24 122m





Relative time;Ch1
s;V
0.00032122;-0.0025040691
0.00032123;0.0010016277
0.00032124;0.0070113936
0.00032125;0.0015024415
0.00032126;0.0035056968
0.00032127;0
0.00032128;-0.0050081383
0.00032129;-0.0040065106
0.0003213;0.0025040691
0.00032131;0.0080130212
0.00032132;0.0015024415
0.00032133;0.0055089521
0.00032134;-0.0010016277
0.00032135;0.0060097659
0.00032136;0.0040065106
0.00032137;-0.00050081383
0.00032138;-0.0015024415
0.00032139;0.00050081383
0.0003214;0.0020032553
0.00032141;0.0025040691
0.00032142;0.0025040691
0.00032143;0
0.00032144;0.0010016277
0.00032145;0
0.00032146;0.0075122074
0.00032147;-0.0020032553
0.00032148;-0.00050081383
0.00032149;-0.0015024415
0.0003215;0.0035056968
0.00032151;0.0060097659
0.00032152;-0.0040065106
0.00032153;0.0020032553
0.00032154;-0.00050081383
0.00032155;0.0050081383
0.00032156;-0.0015024415
0.00032157;0.0055089521
0.00032158;0
0.00032159;0
0.0003216;-0.0025040691
0.00032161;0.00050081383
0.00032162;0.0020032553
0.00032163;-0.0055089521
0.00032164;-0.0010016277
0.00032165;0.003004883
0.00032166;0.0010016277
0.00032167;-0.0010016277
0.00032168;0.0040065106
0.00032169;0.0040065106
0.0003217;-0.0035056968
0.00032171;-0.0055089521
0.00032172;0.0055089521
0.00032173;0.003004883
0.00032174;0.0040065106
0.00032175;-0.0025040691
0.00032176;0.00050081383
0.00032177;0.003004883
0.00032178;-0.0015024415
0.00032179;0.00050081383
0.0003218;-0.00050081383
0.00032181;0.0025040691
0.00032182;-0.003004883
0.00032183;-0.0020032553
0.00032184;-0.0080130212
0.00032185;0.0050081383
0.00032186;0.00050081383
0.00032187;-0.0010016277
0.00032188;0.003004883
0.00032189;-0.003004883
0.0003219;0.0045073244
0.00032191;0.0015024415
0.00032192;-0.0035056968
0.00032193;0.0045073244
0.00032194;0.0045073244
0.00032195;-0.0010016277
0.00032196;0
0.00032197;-0.0035056968
0.00032198;0.003004883
0.00032199;-0.0050081383
0.000322;0.0015024415
0.00032201;-0.0010016277
0.00032202;0.0025040691
0.00032203;-0.0035056968
0.00032204;0.0065105797
0.00032205;0.0065105797
0.00032206;-0.00050081383
0.00032207;-0.0040065106
0.00032208;0.0025040691
0.00032209;-0.003004883
0.0003221;0.00050081383
0.00032211;-0.0025040691
0.00032212;0.0010016277
0.00032213;0.003004883
0.00032214;0.0020032553
0.00032215;-0.0045073244
0.00032216;0.0045073244
0.00032217;0.0060097659
0.00032218;-0.0015024415
0.00032219;-0.0010016277
0.0003222;0.0010016277
0.00032221;-0.003004883
0.00032222;0.0045073244
0.00032223;0
0.00032224;0.0045073244
0.00032225;-0.0035056968
0.00032226;0.0015024415
0.00032227;0.0010016277
0.00032228;0.0040065106
0.00032229;-0.003004883
0.0003223;0.0060097659
0.00032231;0.00050081383
0.00032232;0.003004883
0.00032233;0.0035056968
0.00032234;0.0015024415
0.00032235;-0.0060097659
0.00032236;0.0055089521
0.00032237;-0.0020032553
0.00032238;-0.0050081383
0.00032239;0.0040065106
0.0003224;0.0055089521
0.00032241;-0.0025040691
0.00032242;-0.0035056968
0.00032243;-0.0035056968
0.00032244;-0.00050081383
0.00032245;0.010016277
0.00032246;0.016026042
0.00032247;0
0.00032248;-0.003004883
0.00032249;0.010016277
0.0003225;0.0065105797
0.00032251;-0.0025040691
0.00032252;0.0025040691
0.00032253;0.0065105797
0.00032254;-0.0060097659
0.00032255;-0.0050081383
0.00032256;0.0015024415
0.00032257;0.0025040691
0.00032258;-0.0020032553
0.00032259;-0.0050081383
0.0003226;-0.0045073244
0.00032261;-0.00050081383
0.00032262;0.0015024415
0.00032263;-0.00050081383
0.00032264;0
0.00032265;0.0055089521
0.00032266;0.0065105797
0.00032267;0
0.00032268;0.0020032553
0.00032269;-0.0050081383
0.0003227;0.0020032553
0.00032271;0.0040065106
0.00032272;-0.0035056968
0.00032273;0.010016277
0.00032274;0.0020032553
0.00032275;0.0035056968
0.00032276;0.0015024415
0.00032277;-0.0020032553
0.00032278;0.0050081383
0.00032279;0.0040065106
0.0003228;0.003004883
0.00032281;0.0055089521
0.00032282;0.0015024415
0.00032283;0.0020032553
0.00032284;0.0015024415
0.00032285;0.0045073244
0.00032286;0.0020032553
0.00032287;0.0090146489
0.00032288;0.0070113936
0.00032289;-0.0020032553
0.0003229;-0.0020032553
0.00032291;-0.0020032553
0.00032292;0.0010016277
0.00032293;-0.00050081383
0.00032294;0.0015024415
0.00032295;0.0040065106
0.00032296;0.0015024415
0.00032297;-0.0020032553
0.00032298;0.0015024415
0.00032299;0.003004883
0.000323;-0.0060097659
0.00032301;0.0020032553
0.00032302;0.003004883
0.00032303;-0.0020032553
0.00032304;-0.00050081383
0.00032305;-0.0010016277
0.00032306;0.0045073244
0.00032307;0.0055089521
0.00032308;0.0020032553
0.00032309;0.0015024415
0.0003231;-0.0020032553
0.00032311;-0.0010016277
0.00032312;0.01051709
0.00032313;0.0020032553
0.00032314;-0.0015024415
0.00032315;-0.0025040691
0.00032316;-0.0020032553
0.00032317;-0.0060097659
0.00032318;0.008513835
0.00032319;0.003004883
0.0003232;0.00050081383
0.00032321;0.0020032553
0.00032322;-0.0015024415
0.00032323;-0.00050081383
0.00032324;-0.0010016277
0.00032325;0.0015024415
0.00032326;0.0020032553
0.00032327;-0.0010016277
0.00032328;0.003004883
0.00032329;0
0.0003233;-0.0025040691
0.00032331;0.0020032553
0.00032332;0.003004883
0.00032333;0
0.00032334;0.0020032553
0.00032335;0.0015024415
0.00032336;0.0035056968
0.00032337;0.0055089521
0.00032338;0.0010016277
0.00032339;-0.0010016277
0.0003234;0.0015024415
0.00032341;0.00050081383
0.00032342;-0.00050081383
0.00032343;0.0040065106
0.00032344;0.0050081383
0.00032345;0
0.00032346;-0.00050081383
0.00032347;0.0040065106
0.00032348;0.0020032553
0.00032349;0
0.0003235;0.00050081383
0.00032351;0.0060097659
0.00032352;0.0045073244
0.00032353;0.0025040691
0.00032354;0.0090146489
0.00032355;0.0010016277
0.00032356;0.0035056968
0.00032357;-0.0035056968
0.00032358;0.0060097659
0.00032359;-0.0055089521
0.0003236;0.00050081383
0.00032361;-0.0010016277
0.00032362;0.0015024415
0.00032363;-0.0010016277
0.00032364;0.0020032553
0.00032365;0.0045073244
0.00032366;0.0025040691
0.00032367;0.0070113936
0.00032368;0.0055089521
0.00032369;0.0045073244
0.0003237;-0.00050081383
0.00032371;0.0015024415
0.00032372;0.0035056968
0.00032373;0.0025040691
0.00032374;0.0015024415
0.00032375;0.0055089521
0.00032376;0.0020032553
0.00032377;-0.0040065106
0.00032378;0.0035056968
0.00032379;-0.0015024415
0.0003238;0.0035056968
0.00032381;-0.0015024415
0.00032382;0.00050081383
0.00032383;-0.003004883
0.00032384;-0.0035056968
0.00032385;0.0040065106
0.00032386;0.0070113936
0.00032387;-0.0040065106
0.00032388;0.0055089521
0.00032389;0.0040065106
0.0003239;-0.00050081383
0.00032391;0.0040065106
0.00032392;-0.0035056968
0.00032393;0.00050081383
0.00032394;-0.0010016277
0.00032395;-0.0040065106
0.00032396;-0.00050081383
0.00032397;0.0035056968
0.00032398;0.003004883
0.00032399;0.0020032553
0.000324;-0.003004883
0.00032401;-0.003004883
0.00032402;-0.0015024415
0.00032403;-0.00050081383
0.00032404;0.0015024415
0.00032405;0.0035056968
0.00032406;0.0035056968
0.00032407;-0.0015024415
0.00032408;-0.0020032553
0.00032409;0.0035056968
0.0003241;-0.0015024415
0.00032411;-0.0090146489
0.00032412;0.008513835
0.00032413;0.015024415
0.00032414;-0.0045073244
0.00032415;0.0010016277
0.00032416;0.0050081383
0.00032417;-0.0020032553
0.00032418;-0.0035056968
0.00032419;0.0020032553
0.0003242;0.0060097659
0.00032421;-0.010016277
0.00032422;0
0.00032423;-0.0055089521
0.00032424;0.0050081383
0.00032425;0.0020032553
0.00032426;0.0050081383
0.00032427;0.0015024415
0.00032428;0
0.00032429;0
0.0003243;0.00050081383
0.00032431;0.0025040691
0.00032432;0.0045073244
0.00032433;0.0035056968
0.00032434;-0.0020032553
0.00032435;0.003004883
0.00032436;0.0065105797
0.00032437;0.003004883
0.00032438;0.0070113936
0.00032439;-0.00050081383
0.0003244;0.0020032553
0.00032441;0.0020032553
0.00032442;-0.00050081383
0.00032443;-0.0060097659
0.00032444;-0.0010016277
0.00032445;0.0035056968
0.00032446;0.0050081383
0.00032447;0.0020032553
0.00032448;0.0025040691
0.00032449;0.0035056968
0.0003245;-0.0015024415
0.00032451;0
0.00032452;0.00050081383
0.00032453;-0.0020032553
0.00032454;0.00050081383
0.00032455;-0.0035056968
0.00032456;0.0025040691
0.00032457;-0.0015024415
0.00032458;0.0015024415
0.00032459;-0.0010016277
0.0003246;-0.0020032553
0.00032461;0.0015024415
0.00032462;0
0.00032463;-0.0045073244
0.00032464;-0.0015024415
0.00032465;-0.0020032553
0.00032466;0.0010016277
0.00032467;-0.00050081383
0.00032468;0.0015024415
0.00032469;0.003004883
0.0003247;0.0045073244
0.00032471;-0.0070113936
0.00032472;-0.00050081383
0.00032473;0.0020032553
0.00032474;0.0025040691
0.00032475;0
0.00032476;0
0.00032477;0.0020032553
0.00032478;-0.0020032553
0.00032479;-0.0080130212
0.0003248;-0.0015024415
0.00032481;0.0020032553
0.00032482;-0.0045073244
0.00032483;-0.0010016277
0.00032484;-0.0025040691
0.00032485;-0.0070113936
0.00032486;0.0025040691
0.00032487;-0.0050081383
0.00032488;-0.0020032553
0.00032489;0.0020032553
0.0003249;0.0020032553
0.00032491;0
0.00032492;0.0020032553
0.00032493;-0.0010016277
0.00032494;-0.0035056968
0.00032495;0.0010016277
0.00032496;0.0020032553
0.00032497;-0.0045073244
0.00032498;0.00050081383
0.00032499;0.003004883
0.000325;0.00050081383
0.00032501;0
0.00032502;0.0025040691
0.00032503;0.0035056968
0.00032504;-0.0025040691
0.00032505;-0.0020032553
0.00032506;0.00050081383
0.00032507;-0.0020032553
0.00032508;-0.00050081383
0.00032509;0.0035056968
0.0003251;0
0.00032511;-0.0045073244
0.00032512;0.0020032553
0.00032513;-0.0045073244
0.00032514;0.00050081383
0.00032515;-0.0025040691
0.00032516;0.0010016277
0.00032517;-0.0055089521
0.00032518;-0.00050081383
0.00032519;0.0040065106
0.0003252;0.00050081383
0.00032521;0.0025040691
0.00032522;0.0010016277
0.00032523;0.0020032553
0.00032524;-0.0040065106
0.00032525;-0.0010016277
0.00032526;0.0015024415
0.00032527;-0.00050081383
0.00032528;0.0050081383
0.00032529;0.00050081383
0.0003253;-0.0045073244
0.00032531;-0.0020032553
0.00032532;-0.003004883
0.00032533;0.0040065106
0.00032534;-0.0015024415
0.00032535;-0.00050081383
0.00032536;0.00050081383
0.00032537;0.0025040691
0.00032538;0.003004883
0.00032539;-0.0015024415
0.0003254;0.00050081383
0.00032541;-0.0020032553
0.00032542;-0.0045073244
0.00032543;-0.0050081383
0.00032544;0.0020032553
0.00032545;0
0.00032546;0.0075122074
0.00032547;-0.0020032553
0.00032548;0.0010016277
0.00032549;0.0050081383
0.0003255;0.00050081383
0.00032551;-0.0040065106
0.00032552;-0.0020032553
0.00032553;0.0010016277
0.00032554;0.00050081383
0.00032555;-0.0015024415
0.00032556;0.0025040691
0.00032557;0.00050081383
0.00032558;-0.0010016277
0.00032559;0.003004883
0.0003256;-0.00050081383
0.00032561;-0.0050081383
0.00032562;0.003004883
0.00032563;-0.0015024415
0.00032564;-0.003004883
0.00032565;0.0025040691
0.00032566;0.0010016277
0.00032567;-0.0010016277
0.00032568;-0.0010016277
0.00032569;-0.0065105797
0.0003257;-0.00050081383
0.00032571;0.0035056968
0.00032572;-0.0055089521
0.00032573;-0.0035056968
0.00032574;-0.0095154627
0.00032575;-0.0050081383
0.00032576;0.012019532
0.00032577;-0.0070113936
0.00032578;-0.008513835
0.00032579;0.0060097659
0.0003258;-0.0020032553
0.00032581;-0.0045073244
0.00032582;0.0035056968
0.00032583;0.008513835
0.00032584;-0.0055089521
0.00032585;0.0025040691
0.00032586;0
0.00032587;0.0015024415
0.00032588;0.003004883
0.00032589;0.0055089521
0.0003259;0.0020032553
0.00032591;0.0040065106
0.00032592;0.0050081383
0.00032593;-0.0015024415
0.00032594;-0.0025040691
0.00032595;-0.0025040691
0.00032596;-0.0015024415
0.00032597;0.0035056968
0.00032598;-0.0010016277
0.00032599;-0.0025040691
0.000326;0.0070113936
0.00032601;-0.0015024415
0.00032602;0.0035056968
0.00032603;-0.00050081383
0.00032604;0.0055089521
0.00032605;0.0020032553
0.00032606;0.003004883
0.00032607;0.0060097659
0.00032608;-0.0015024415
0.00032609;-0.0020032553
0.0003261;-0.0010016277
0.00032611;-0.0010016277
0.00032612;0.012019532
0.00032613;-0.00050081383
0.00032614;-0.0050081383
0.00032615;-0.0010016277
0.00032616;0.003004883
0.00032617;-0.00050081383
0.00032618;0
0.00032619;-0.0040065106
0.0003262;0.0010016277
0.00032621;-0.0020032553
0.00032622;0.0050081383
0.00032623;-0.0010016277
0.00032624;0.0055089521
0.00032625;-0.0010016277
0.00032626;0.0040065106
0.00032627;-0.0050081383
0.00032628;-0.0020032553
0.00032629;0.0045073244
0.0003263;-0.0015024415
0.00032631;-0.0025040691
0.00032632;-0.003004883
0.00032633;0.0010016277
0.00032634;-0.0020032553
0.00032635;0.0025040691
0.00032636;-0.00050081383
0.00032637;-0.0010016277
0.00032638;0.0020032553
0.00032639;-0.0020032553
0.0003264;-0.0010016277
0.00032641;0.0010016277
0.00032642;0.0035056968
0.00032643;-0.00050081383
0.00032644;0.0025040691
0.00032645;0.0010016277
0.00032646;-0.00050081383
0.00032647;0.0025040691
0.00032648;-0.0025040691
0.00032649;0.0020032553
0.0003265;-0.00050081383
0.00032651;0.0025040691
0.00032652;0.00050081383
0.00032653;0.003004883
0.00032654;0.0015024415
0.00032655;0.0020032553
0.00032656;0.0010016277
0.00032657;-0.0050081383
0.00032658;0.0025040691
0.00032659;0.0055089521
0.0003266;0
0.00032661;-0.0010016277
0.00032662;0.0065105797
0.00032663;0.0065105797
0.00032664;-0.0045073244
0.00032665;0.0020032553
0.00032666;0.0035056968
0.00032667;-0.00050081383
0.00032668;0.0025040691
0.00032669;0.0020032553
0.0003267;0.0050081383
0.00032671;-0.0020032553
0.00032672;0.0060097659
0.00032673;0.0035056968
0.00032674;0.003004883
0.00032675;0.00050081383
0.00032676;0.0045073244
0.00032677;0.0040065106
0.00032678;-0.0010016277
0.00032679;-0.0010016277
0.0003268;-0.0040065106
0.00032681;-0.003004883
0.00032682;-0.0015024415
0.00032683;-0.0045073244
0.00032684;0.00050081383
0.00032685;0.0010016277
0.00032686;-0.0050081383
0.00032687;0.0025040691
0.00032688;-0.0015024415
0.00032689;0.0025040691
0.0003269;0.0065105797
0.00032691;-0.0035056968
0.00032692;0.0020032553
0.00032693;0.003004883
0.00032694;0
0.00032695;0.0025040691
0.00032696;0.0015024415
0.00032697;-0.0015024415
0.00032698;0.003004883
0.00032699;0
0.000327;0.0040065106
0.00032701;0.00050081383
0.00032702;0.0065105797
0.00032703;-0.0035056968
0.00032704;-0.0020032553
0.00032705;0.0010016277
0.00032706;0.0035056968
0.00032707;0.0050081383
0.00032708;0.003004883
0.00032709;0
0.0003271;0.0020032553
0.00032711;0.0060097659
0.00032712;-0.0025040691
0.00032713;0.0055089521
0.00032714;0.003004883
0.00032715;0.0025040691
0.00032716;0.0010016277
0.00032717;-0.0055089521
0.00032718;0.0045073244
0.00032719;0.0070113936
0.0003272;-0.0015024415
0.00032721;0
0.00032722;0.0025040691
0.00032723;-0.0010016277
0.00032724;0.003004883
0.00032725;-0.00050081383
0.00032726;0.0010016277
0.00032727;0.0060097659
0.00032728;-0.0015024415
0.00032729;-0.0010016277
0.0003273;0.0025040691
0.00032731;0.00050081383
0.00032732;-0.0035056968
0.00032733;0.00050081383
0.00032734;-0.0025040691
0.00032735;-0.00050081383
0.00032736;-0.0020032553
0.00032737;0.0060097659
